strategy,symbols,emaFast,emaSlow,minRsi,maxRsi,minVolumeFactor,maxVolumeFactor,atrStop,atrTake,trainTrades,trainNetPnl,trainPF,trainWinRate,trainMaxDD,testTrades,testNetPnl,testPF,testWinRate,testMaxDD,score,candidate
"trendMomentum","ETH-USDT","20","50","42","55","1","1.5","1","2","0","0","N/A","0","0","1","-1.14","0","0","1.14","-3.42","false"
"trendMomentum","BTC-USDT","20","50","42","55","1","1.5","1","2","0","0","N/A","0","0","2","-1.72","0","0","1.72","-5.16","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","1","1.5","1","2","8","1.77","1.5","62.5","2.42","11","4.72","1.71","54.55","2.49","31.55","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","1","1.5","1","2","0","0","N/A","0","0","4","-1.57","0.45","25","1.72","-0.36","false"
"trendMomentum","ETH-USDT","30","100","42","55","1","1.5","1","2","0","0","N/A","0","0","2","0.15","1.13","50","1.14","10.46","false"
"trendMomentum","BTC-USDT","30","100","42","55","1","1.5","1","2","0","0","N/A","0","0","2","-1.72","0","0","1.72","-5.16","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","1","1.5","1.2","1.8","1","0.73","N/A","100","0","3","2.78","3.87","66.67","0.97","43.29","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","1","1.5","1.2","1.8","0","0","N/A","0","0","1","-0.97","0","0","0.97","-2.91","false"
"trendMomentum","ETH-USDT","9","21","42","55","1","1.5","1.2","1.8","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","1","1.5","1.2","1.8","0","0","N/A","0","0","1","-0.97","0","0","0.97","-2.91","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","1","1.5","1.2","1.8","3","1.73","N/A","100","0","10","-2.21","0.77","40","2.89","-9.61","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","1","1.5","1.2","1.8","0","0","N/A","0","0","3","-3.14","0","0","1.87","-8.15","false"
"trendMomentum","ETH-USDT","20","50","42","55","1","1.5","1.2","1.8","0","0","N/A","0","0","1","-1.27","0","0","1.27","-3.81","false"
"trendMomentum","BTC-USDT","20","50","42","55","1","1.5","1.2","1.8","0","0","N/A","0","0","2","-1.87","0","0","1.87","-5.61","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","1","1.5","1.2","1.8","8","0.6","1.15","62.5","3.01","11","2.42","1.32","54.55","2.9","20.89","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","1","1.5","1.2","1.8","0","0","N/A","0","0","4","-2.04","0.35","25","1.88","-2.46","false"
"trendMomentum","ETH-USDT","30","100","42","55","1","1.5","1.2","1.8","0","0","N/A","0","0","2","-0.16","0.87","50","1.27","7.11","false"
"trendMomentum","BTC-USDT","30","100","42","55","1","1.5","1.2","1.8","0","0","N/A","0","0","2","-1.88","0","0","1.88","-5.64","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","9","21","42","55","1","1.5","1.5","2.5","1","1.19","N/A","100","0","3","4.55","5.17","66.67","1.09","59.71","false"
"trendMomentum","BTC-USDT+ETH-USDT","9","21","42","55","1","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.09","0","0","1.09","-3.27","false"
"trendMomentum","ETH-USDT","9","21","42","55","1","1.5","1.5","2.5","0","0","N/A","0","0","0","0","N/A","0","0","0","false"
"trendMomentum","BTC-USDT","9","21","42","55","1","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.09","0","0","1.09","-3.27","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","20","50","42","55","1","1.5","1.5","2.5","3","-2.57","0.12","33.33","2.92","8","-1.18","0.88","37.5","3.46","3.58","false"
"trendMomentum","BTC-USDT+ETH-USDT","20","50","42","55","1","1.5","1.5","2.5","0","0","N/A","0","0","2","-2.55","0","0","1.46","-6.56","false"
"trendMomentum","ETH-USDT","20","50","42","55","1","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.46","0","0","1.46","-4.38","false"
"trendMomentum","BTC-USDT","20","50","42","55","1","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.09","0","0","1.09","-3.27","false"
"trendMomentum","BTC-USDT+ETH-USDT+SOL-USDT","30","100","42","55","1","1.5","1.5","2.5","6","0.27","1.06","50","4.45","8","3.15","1.39","50","3.47","22.03","false"
"trendMomentum","BTC-USDT+ETH-USDT","30","100","42","55","1","1.5","1.5","2.5","0","0","N/A","0","0","2","-2.89","0","0","1.8","-7.58","false"
"trendMomentum","ETH-USDT","30","100","42","55","1","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.8","0","0","1.8","-5.4","false"
"trendMomentum","BTC-USDT","30","100","42","55","1","1.5","1.5","2.5","0","0","N/A","0","0","1","-1.09","0","0","1.09","-3.27","false"
